Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,24/04/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Pakistan,PAK,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,0.543731552,0.331334806,0.357093806,0.159018628,0.193128685,0.115942029,0.244661922,0.191256831,0.162136385,0.138989546,0.224150135,0.585178392,1.014360098,1.103111102,0.92073728,0.773966909,1.006728718,1.175832422,1.209641825,0.918307792,0.798386403,0.829959514,0.730644883,1.217410243,2.150398032,1.94904331,1.989663216,1.610486119,1.004183084,1.581144331,1.874102108,1.634825324,1.573404684,1.774882068,1.728582314,1.62944118,1.399691183,1.673339984,2.641030712,2.593732869,2.329777034,2.741174734,2.299960208,2.197121488,2.31919826,1.968572584,1.731040734,2.098801845,1.795555607,1.882089625,2.227162508,2.024359154,1.791192886,1.835953164,2.01239888,2.757229134,2.542605936,3.216082851,
Pakistan,PAK,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,5.468385894,5.538024613,4.28512567,3.81644707,3.699939012,3.536231884,2.924822064,1.903460838,3.071053887,2.304248116,2.713396374,3.389886021,6.153684558,5.116011545,4.074923416,4.006969459,4.156800225,7.42573046,5.08207849,4.177327722,3.238409284,3.011755096,3.089919596,2.42562044,2.512897605,1.895379662,2.06772941,1.806061106,2.045400732,1.810996891,1.735617649,1.491825994,1.56871812,1.682383948,1.694725945,1.602223248,2.641632282,2.237742211,2.732568992,2.330531195,2.71439254,3.158754222,2.299417333,2.651999321,3.376211649,3.012253533,4.39633679,4.538992982,4.561396892,4.209152315,4.867478995,4.481255616,4.456237917,5.261361904,5.513940828,4.997383907,4.568174597,3.978456362,
Pakistan,PAK,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,5.561597017,4.43357526,3.694547452,4.384370741,2.866436268,0.70531401,1.990658363,2.841530055,3.1855031,2.338995503,3.103617257,3.726145247,1.448014045,1.157547683,2.036312223,1.407041784,0.956087497,0.716592982,0.8455926,2.616524615,3.140456936,0.364727608,1.041288225,2.259268578,1.470839455,2.356954962,1.489406101,3.345913376,1.696607998,2.348922879,3.54210002,2.757462232,2.618842963,2.191521563,2.411270365,2.893794457,3.676569578,2.455175803,2.107438222,2.152375772,3.98374277,3.676006672,3.294420812,3.166542422,2.828310463,2.958000754,2.414458831,2.570545203,3.758017154,4.368248379,3.804607008,2.032053995,1.651445666,1.380017649,1.515722879,1.80363561,1.721179898,1.538795322,
Pakistan,PAK,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,,0.426001893,0.09614064,,0.020329335,,0.044483986,,,0.019855649,0.005444943,0.009825757,4.181984605,0.63269687,0.060922691,0.061992495,0.463273392,0.064440348,1.642787351,1.262827127,1.296186214,0.808296044,0.661653804,0.837391993,1.383033243,0.669437024,1.181985527,0.981655822,1.16021395,1.171438366,0.834838682,1.16512249,1.253303405,0.840165111,0.583882273,1.070871893,1.202179159,0.614767817,0.567384329,0.465726424,0.586342618,1.18255574,0.26087779,0.277938076,0.515128667,1.391551255,0.873290472,0.615347343,1.113030983,0.826369592,1.131209383,0.516180826,0.53985875,0.426125744,0.476208242,0.7807431,1.120930211,1.26959297,
Pakistan,PAK,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,,,0.151078149,0.329395729,0.132140679,0.193236715,0.489323843,0.765027322,0.982355746,1.250905914,1.313138646,1.848333988,1.527542278,1.239716108,0.60577846,1.402815023,0.994068413,0.628497316,0.879379777,1.092168157,0.92961264,1.697741317,1.415051064,1.548424163,1.332638628,0.905489146,0.732406227,0.908272238,1.326262363,0.957337982,0.948180971,1.371383923,1.507915052,1.167049681,2.510779191,2.448611187,2.219432551,1.391652405,1.622492248,3.225309544,1.750240373,1.788889032,1.885177898,1.618088047,2.611098163,3.752604065,3.292439421,2.669269107,3.718763113,2.858194732,1.881116227,1.595033302,1.811648548,1.878452491,2.316386364,1.517840927,1.803687466,1.589709978,
Pakistan,PAK,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,3.060431878,4.291574629,1.030078286,2.941844616,3.151046961,2.724637681,5.460409253,4.526411658,3.481163567,3.278167721,3.361344538,4.646491113,6.200201071,7.183574532,7.858452449,8.545101888,6.715588587,7.446122975,6.318810935,7.234659778,7.122107695,7.405888202,6.755437635,7.112387018,9.16840343,8.405833035,7.534598788,8.489982367,9.162867082,9.713734046,9.905566619,10.71521411,11.16978875,11.73825099,14.48237384,15.18965132,12.31414013,13.81265444,16.55291642,13.39465761,12.99213032,12.93159648,15.46657654,15.98881677,16.98104685,17.31746102,17.59669371,21.32129928,19.76046075,21.41860254,24.09318839,25.6881869,25.38963805,24.37233168,29.35399061,34.43729414,38.31772546,36.40889784,
Pakistan,PAK,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,9.165760447,9.482486589,5.328938333,7.814629714,6.363081927,3.739130435,8.229537367,8.324225865,7.811158798,7.026914333,8.007695519,10.8159745,14.3721021,11.3166463,11.4822031,12.1909181,10.13574661,10.03148604,10.89621249,13.12448747,13.28674989,11.10661269,10.60407561,12.974882,15.50531279,14.28675748,12.92805986,15.33630992,14.35013448,15.7725776,17.1047884,17.64400808,18.12325486,17.71186942,21.71688798,23.23237003,20.8120126,19.94759044,23.49126193,21.83180222,21.64223311,22.32022266,23.20701325,23.2485068,25.2547824,27.38818968,25.90792317,29.27526277,30.1458276,31.35350487,33.13728352,31.85581417,31.1837839,29.89288073,35.67470698,41.29674291,45.50612897,44.02307896,
Pakistan,PAK,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,80.61208638,79.82013253,87.98242,85.89277601,86.97906078,88.07729469,83.15169039,84.99089253,82.84215546,82.54489859,82.64333811,78.8844491,73.88172801,78.73070326,79.28341121,77.90531116,81.74665322,76.8218673,80.61742262,78.89098758,80.3519555,82.22885148,83.08507554,81.45589798,78.74850524,81.13026511,80.94607284,78.82290668,79.88598211,78.79617866,76.79550914,76.39023121,76.95224889,77.83632096,73.79336113,72.42996525,73.96091036,76.62771102,71.90157355,74.2212046,75.40444004,72.83327002,73.03924388,72.70312201,71.33806388,67.57612653,68.15076595,63.89284932,63.89394076,63.47078046,61.01090793,62.73686607,63.25344215,63.26854439,56.88159624,51.65655281,47.67049275,49.95027479,
Pakistan,PAK,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,826925000,594418000,834338000,985038000,1069560000,968250000,916309000,1111850000,533477000,713263000,775281000,607703000,1158270000,1126880000,2206130000,2212950000,2311150000,2586430000,3859240000,4497930000,5350000000,5631000000,5465000000,5329000000,5853000000,5890000000,5374000000,5822000000,6590000000,7143000000,7375890000,8438770000,9378700000,9499770000,8888790000,11460700000,12131200000,11595500000,9307680000,10207000000,10864000000,10191000000,11233000000,13038000000,17949000000,25357300000,29824900000,32590000000,42328600000,31668279000,37806883000,44011806000,44104600000,44646900000,47589990000,43795100000,46847000000,57746000000,
Pakistan,PAK,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,2.594376262,3.108236037,2.224969098,1.147205816,0.670868063,0.434782609,0.711743772,1.083788707,1.373390558,2.290349162,3.154436721,4.59627058,6.825923203,7.599552182,13.37080654,17.5072442,18.16988254,15.91921301,20.56969442,18.56587362,29.10586705,31.25896726,30.52304779,26.81588266,24.81670026,23.09829448,13.61537774,17.48076044,14.10030295,17.27220188,17.16551804,13.41927178,13.79502396,16.53207913,19.58181628,18.36415156,21.51901867,23.54018875,20.67285382,26.956101,35.68054452,34.10937761,32.64183581,30.26420283,30.17375021,29.58710276,31.75603787,29.51444867,35.61273142,30.78823542,34.21613616,38.39307007,40.00730577,39.65186834,34.57428295,27.18251388,23.24821246,25.5804691,
